# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31
 2998, 2 1499,        radical,        1,  3,  2,  6,   8,   6,   15,  8,   11,  22
 2999, 2999,          prime,          2,  4,  3,  7,   9,   7,   16,  9,   12,  23
 3000, 2³ 3 5³,       ,               0,  0,  4,  8,   10,  8,   17,  10,  13,  24
 3001, 3001,          prime,          1,  1,  5,  9,   11,  9,   18,  11,  14,  25
 3002, 2 19 79,       radical,        2,  2,  6,  10,  12,  10,  0,   12,  15,  26
 3003, 3 7 11 13,     radical,        0,  3,  0,  0,   0,   11,  1,   13,  16,  27
 3004, 2² 751,        ,               1,  4,  1,  1,   1,   12,  2,   14,  17,  28
 3005, 5 601,         radical,        2,  0,  2,  2,   2,   13,  3,   15,  18,  29
 3006, 2 3² 167,      ,               0,  1,  3,  3,   3,   14,  4,   16,  19,  30
 3007, 31 97,         radical,        1,  2,  4,  4,   4,   15,  5,   17,  20,  0
 3008, 2⁶ 47,         ,               2,  3,  5,  5,   5,   16,  6,   18,  21,  1
 3009, 3 17 59,       radical,        0,  4,  6,  6,   6,   0,   7,   19,  22,  2
 3010, 2 5 7 43,      radical,        1,  0,  0,  7,   7,   1,   8,   20,  23,  3
 3011, 3011,          prime,          2,  1,  1,  8,   8,   2,   9,   21,  24,  4
 3012, 2² 3 251,      ,               0,  2,  2,  9,   9,   3,   10,  22,  25,  5
 3013, 23 131,        radical,        1,  3,  3,  10,  10,  4,   11,  0,   26,  6
 3014, 2 11 137,      radical,        2,  4,  4,  0,   11,  5,   12,  1,   27,  7
 3015, 3² 5 67,       ,               0,  0,  5,  1,   12,  6,   13,  2,   28,  8
 3016, 2³ 13 29,      ,               1,  1,  6,  2,   0,   7,   14,  3,   0,   9
 3017, 7 431,         radical,        2,  2,  0,  3,   1,   8,   15,  4,   1,   10
 3018, 2 3 503,       radical,        0,  3,  1,  4,   2,   9,   16,  5,   2,   11
 3019, 3019,          prime,          1,  4,  2,  5,   3,   10,  17,  6,   3,   12
 3020, 2² 5 151,      ,               2,  0,  3,  6,   4,   11,  18,  7,   4,   13
 3021, 3 19 53,       radical,        0,  1,  4,  7,   5,   12,  0,   8,   5,   14
 3022, 2 1511,        radical,        1,  2,  5,  8,   6,   13,  1,   9,   6,   15
 3023, 3023,          prime,          2,  3,  6,  9,   7,   14,  2,   10,  7,   16
 3024, 2⁴ 3³ 7,       ,               0,  4,  0,  10,  8,   15,  3,   11,  8,   17
 3025, 5² 11²,        radical power,  1,  0,  1,  0,   9,   16,  4,   12,  9,   18
 3026, 2 17 89,       radical,        2,  1,  2,  1,   10,  0,   5,   13,  10,  19
 3027, 3 1009,        radical,        0,  2,  3,  2,   11,  1,   6,   14,  11,  20
 3028, 2² 757,        ,               1,  3,  4,  3,   12,  2,   7,   15,  12,  21
 3029, 13 233,        radical,        2,  4,  5,  4,   0,   3,   8,   16,  13,  22
 3030, 2 3 5 101,     radical,        0,  0,  6,  5,   1,   4,   9,   17,  14,  23
 3031, 7 433,         radical,        1,  1,  0,  6,   2,   5,   10,  18,  15,  24
 3032, 2³ 379,        ,               2,  2,  1,  7,   3,   6,   11,  19,  16,  25
 3033, 3² 337,        ,               0,  3,  2,  8,   4,   7,   12,  20,  17,  26
 3034, 2 37 41,       radical,        1,  4,  3,  9,   5,   8,   13,  21,  18,  27
 3035, 5 607,         radical,        2,  0,  4,  10,  6,   9,   14,  22,  19,  28
 3036, 2² 3 11 23,    ,               0,  1,  5,  0,   7,   10,  15,  0,   20,  29
 3037, 3037,          prime,          1,  2,  6,  1,   8,   11,  16,  1,   21,  30
 3038, 2 7² 31,       ,               2,  3,  0,  2,   9,   12,  17,  2,   22,  0
 3039, 3 1013,        radical,        0,  4,  1,  3,   10,  13,  18,  3,   23,  1
 3040, 2⁵ 5 19,       ,               1,  0,  2,  4,   11,  14,  0,   4,   24,  2
 3041, 3041,          prime,          2,  1,  3,  5,   12,  15,  1,   5,   25,  3
 3042, 2 3² 13²,      ,               0,  2,  4,  6,   0,   16,  2,   6,   26,  4
 3043, 17 179,        radical,        1,  3,  5,  7,   1,   0,   3,   7,   27,  5
 3044, 2² 761,        ,               2,  4,  6,  8,   2,   1,   4,   8,   28,  6
 3045, 3 5 7 29,      radical,        0,  0,  0,  9,   3,   2,   5,   9,   0,   7
 3046, 2 1523,        radical,        1,  1,  1,  10,  4,   3,   6,   10,  1,   8
 3047, 11 277,        radical,        2,  2,  2,  0,   5,   4,   7,   11,  2,   9
 3048, 2³ 3 127,      ,               0,  3,  3,  1,   6,   5,   8,   12,  3,   10
 3049, 3049,          prime,          1,  4,  4,  2,   7,   6,   9,   13,  4,   11
 3050, 2 5² 61,       ,               2,  0,  5,  3,   8,   7,   10,  14,  5,   12
 3051, 3³ 113,        ,               0,  1,  6,  4,   9,   8,   11,  15,  6,   13
 3052, 2² 7 109,      ,               1,  2,  0,  5,   10,  9,   12,  16,  7,   14
 3053, 43 71,         radical,        2,  3,  1,  6,   11,  10,  13,  17,  8,   15
 3054, 2 3 509,       radical,        0,  4,  2,  7,   12,  11,  14,  18,  9,   16
 3055, 5 13 47,       radical,        1,  0,  3,  8,   0,   12,  15,  19,  10,  17
 3056, 2⁴ 191,        ,               2,  1,  4,  9,   1,   13,  16,  20,  11,  18
 3057, 3 1019,        radical,        0,  2,  5,  10,  2,   14,  17,  21,  12,  19
 3058, 2 11 139,      radical,        1,  3,  6,  0,   3,   15,  18,  22,  13,  20
 3059, 7 19 23,       radical,        2,  4,  0,  1,   4,   16,  0,   0,   14,  21
 3060, 2² 3² 5 17,    ,               0,  0,  1,  2,   5,   0,   1,   1,   15,  22
 3061, 3061,          prime,          1,  1,  2,  3,   6,   1,   2,   2,   16,  23
 3062, 2 1531,        radical,        2,  2,  3,  4,   7,   2,   3,   3,   17,  24
 3063, 3 1021,        radical,        0,  3,  4,  5,   8,   3,   4,   4,   18,  25
 3064, 2³ 383,        ,               1,  4,  5,  6,   9,   4,   5,   5,   19,  26
 3065, 5 613,         radical,        2,  0,  6,  7,   10,  5,   6,   6,   20,  27
 3066, 2 3 7 73,      radical,        0,  1,  0,  8,   11,  6,   7,   7,   21,  28
 3067, 3067,          prime,          1,  2,  1,  9,   12,  7,   8,   8,   22,  29
 3068, 2² 13 59,      ,               2,  3,  2,  10,  0,   8,   9,   9,   23,  30
 3069, 3² 11 31,      ,               0,  4,  3,  0,   1,   9,   10,  10,  24,  0
 3070, 2 5 307,       radical,        1,  0,  4,  1,   2,   10,  11,  11,  25,  1
 3071, 37 83,         radical,        2,  1,  5,  2,   3,   11,  12,  12,  26,  2
 3072, 2¹⁰ 3,         ,               0,  2,  6,  3,   4,   12,  13,  13,  27,  3
 3073, 7 439,         radical,        1,  3,  0,  4,   5,   13,  14,  14,  28,  4
 3074, 2 29 53,       radical,        2,  4,  1,  5,   6,   14,  15,  15,  0,   5
 3075, 3 5² 41,       ,               0,  0,  2,  6,   7,   15,  16,  16,  1,   6
 3076, 2² 769,        ,               1,  1,  3,  7,   8,   16,  17,  17,  2,   7
 3077, 17 181,        radical,        2,  2,  4,  8,   9,   0,   18,  18,  3,   8
 3078, 2 3⁴ 19,       ,               0,  3,  5,  9,   10,  1,   0,   19,  4,   9
 3079, 3079,          prime,          1,  4,  6,  10,  11,  2,   1,   20,  5,   10
 3080, 2³ 5 7 11,     ,               2,  0,  0,  0,   12,  3,   2,   21,  6,   11
 3081, 3 13 79,       radical,        0,  1,  1,  1,   0,   4,   3,   22,  7,   12
 3082, 2 23 67,       radical,        1,  2,  2,  2,   1,   5,   4,   0,   8,   13
 3083, 3083,          prime,          2,  3,  3,  3,   2,   6,   5,   1,   9,   14
 3084, 2² 3 257,      ,               0,  4,  4,  4,   3,   7,   6,   2,   10,  15
 3085, 5 617,         radical,        1,  0,  5,  5,   4,   8,   7,   3,   11,  16
 3086, 2 1543,        radical,        2,  1,  6,  6,   5,   9,   8,   4,   12,  17
 3087, 3² 7³,         ,               0,  2,  0,  7,   6,   10,  9,   5,   13,  18
 3088, 2⁴ 193,        ,               1,  3,  1,  8,   7,   11,  10,  6,   14,  19
 3089, 3089,          prime,          2,  4,  2,  9,   8,   12,  11,  7,   15,  20
 3090, 2 3 5 103,     radical,        0,  0,  3,  10,  9,   13,  12,  8,   16,  21
 3091, 11 281,        radical,        1,  1,  4,  0,   10,  14,  13,  9,   17,  22
 3092, 2² 773,        ,               2,  2,  5,  1,   11,  15,  14,  10,  18,  23
 3093, 3 1031,        radical,        0,  3,  6,  2,   12,  16,  15,  11,  19,  24
 3094, 2 7 13 17,     radical,        1,  4,  0,  3,   0,   0,   16,  12,  20,  25
 3095, 5 619,         radical,        2,  0,  1,  4,   1,   1,   17,  13,  21,  26
 3096, 2³ 3² 43,      ,               0,  1,  2,  5,   2,   2,   18,  14,  22,  27
 3097, 19 163,        radical,        1,  2,  3,  6,   3,   3,   0,   15,  23,  28
 3098, 2 1549,        radical,        2,  3,  4,  7,   4,   4,   1,   16,  24,  29
 3099, 3 1033,        radical,        0,  4,  5,  8,   5,   5,   2,   17,  25,  30
 3100, 2² 5² 31,      ,               1,  0,  6,  9,   6,   6,   3,   18,  26,  0
 3101, 7 443,         radical,        2,  1,  0,  10,  7,   7,   4,   19,  27,  1
 3102, 2 3 11 47,     radical,        0,  2,  1,  0,   8,   8,   5,   20,  28,  2
 3103, 29 107,        radical,        1,  3,  2,  1,   9,   9,   6,   21,  0,   3
 3104, 2⁵ 97,         ,               2,  4,  3,  2,   10,  10,  7,   22,  1,   4
 3105, 3³ 5 23,       ,               0,  0,  4,  3,   11,  11,  8,   0,   2,   5
 3106, 2 1553,        radical,        1,  1,  5,  4,   12,  12,  9,   1,   3,   6
 3107, 13 239,        radical,        2,  2,  6,  5,   0,   13,  10,  2,   4,   7
 3108, 2² 3 7 37,     ,               0,  3,  0,  6,   1,   14,  11,  3,   5,   8
 3109, 3109,          prime,          1,  4,  1,  7,   2,   15,  12,  4,   6,   9
 3110, 2 5 311,       radical,        2,  0,  2,  8,   3,   16,  13,  5,   7,   10
 3111, 3 17 61,       radical,        0,  1,  3,  9,   4,   0,   14,  6,   8,   11
 3112, 2³ 389,        ,               1,  2,  4,  10,  5,   1,   15,  7,   9,   12
 3113, 11 283,        radical,        2,  3,  5,  0,   6,   2,   16,  8,   10,  13
 3114, 2 3² 173,      ,               0,  4,  6,  1,   7,   3,   17,  9,   11,  14
 3115, 5 7 89,        radical,        1,  0,  0,  2,   8,   4,   18,  10,  12,  15
 3116, 2² 19 41,      ,               2,  1,  1,  3,   9,   5,   0,   11,  13,  16
 3117, 3 1039,        radical,        0,  2,  2,  4,   10,  6,   1,   12,  14,  17
 3118, 2 1559,        radical,        1,  3,  3,  5,   11,  7,   2,   13,  15,  18
 3119, 3119,          prime,          2,  4,  4,  6,   12,  8,   3,   14,  16,  19
 3120, 2⁴ 3 5 13,     ,               0,  0,  5,  7,   0,   9,   4,   15,  17,  20
 3121, 3121,          prime,          1,  1,  6,  8,   1,   10,  5,   16,  18,  21
 3122, 2 7 223,       radical,        2,  2,  0,  9,   2,   11,  6,   17,  19,  22
 3123, 3² 347,        ,               0,  3,  1,  10,  3,   12,  7,   18,  20,  23
 3124, 2² 11 71,      ,               1,  4,  2,  0,   4,   13,  8,   19,  21,  24
 3125, 5⁵,            prime power,    2,  0,  3,  1,   5,   14,  9,   20,  22,  25
 3126, 2 3 521,       radical,        0,  1,  4,  2,   6,   15,  10,  21,  23,  26
 3127, 53 59,         radical,        1,  2,  5,  3,   7,   16,  11,  22,  24,  27
 3128, 2³ 17 23,      ,               2,  3,  6,  4,   8,   0,   12,  0,   25,  28
 3129, 3 7 149,       radical,        0,  4,  0,  5,   9,   1,   13,  1,   26,  29
 3130, 2 5 313,       radical,        1,  0,  1,  6,   10,  2,   14,  2,   27,  30
 3131, 31 101,        radical,        2,  1,  2,  7,   11,  3,   15,  3,   28,  0
 3132, 2² 3³ 29,      ,               0,  2,  3,  8,   12,  4,   16,  4,   0,   1
 3133, 13 241,        radical,        1,  3,  4,  9,   0,   5,   17,  5,   1,   2
 3134, 2 1567,        radical,        2,  4,  5,  10,  1,   6,   18,  6,   2,   3
 3135, 3 5 11 19,     radical,        0,  0,  6,  0,   2,   7,   0,   7,   3,   4
 3136, 2⁶ 7²,         ,               1,  1,  0,  1,   3,   8,   1,   8,   4,   5
 3137, 3137,          prime,          2,  2,  1,  2,   4,   9,   2,   9,   5,   6
 3138, 2 3 523,       radical,        0,  3,  2,  3,   5,   10,  3,   10,  6,   7
 3139, 43 73,         radical,        1,  4,  3,  4,   6,   11,  4,   11,  7,   8
 3140, 2² 5 157,      ,               2,  0,  4,  5,   7,   12,  5,   12,  8,   9
 3141, 3² 349,        ,               0,  1,  5,  6,   8,   13,  6,   13,  9,   10
 3142, 2 1571,        radical,        1,  2,  6,  7,   9,   14,  7,   14,  10,  11
 3143, 7 449,         radical,        2,  3,  0,  8,   10,  15,  8,   15,  11,  12
 3144, 2³ 3 131,      ,               0,  4,  1,  9,   11,  16,  9,   16,  12,  13
 3145, 5 17 37,       radical,        1,  0,  2,  10,  12,  0,   10,  17,  13,  14
 3146, 2 11² 13,      ,               2,  1,  3,  0,   0,   1,   11,  18,  14,  15
 3147, 3 1049,        radical,        0,  2,  4,  1,   1,   2,   12,  19,  15,  16
 3148, 2² 787,        ,               1,  3,  5,  2,   2,   3,   13,  20,  16,  17
 3149, 47 67,         radical,        2,  4,  6,  3,   3,   4,   14,  21,  17,  18
 3150, 2 3² 5² 7,     ,               0,  0,  0,  4,   4,   5,   15,  22,  18,  19
 3151, 23 137,        radical,        1,  1,  1,  5,   5,   6,   16,  0,   19,  20
 3152, 2⁴ 197,        ,               2,  2,  2,  6,   6,   7,   17,  1,   20,  21
 3153, 3 1051,        radical,        0,  3,  3,  7,   7,   8,   18,  2,   21,  22
 3154, 2 19 83,       radical,        1,  4,  4,  8,   8,   9,   0,   3,   22,  23
 3155, 5 631,         radical,        2,  0,  5,  9,   9,   10,  1,   4,   23,  24
 3156, 2² 3 263,      ,               0,  1,  6,  10,  10,  11,  2,   5,   24,  25
 3157, 7 11 41,       radical,        1,  2,  0,  0,   11,  12,  3,   6,   25,  26
 3158, 2 1579,        radical,        2,  3,  1,  1,   12,  13,  4,   7,   26,  27
 3159, 3⁵ 13,         ,               0,  4,  2,  2,   0,   14,  5,   8,   27,  28
 3160, 2³ 5 79,       ,               1,  0,  3,  3,   1,   15,  6,   9,   28,  29
 3161, 29 109,        radical,        2,  1,  4,  4,   2,   16,  7,   10,  0,   30
 3162, 2 3 17 31,     radical,        0,  2,  5,  5,   3,   0,   8,   11,  1,   0
 3163, 3163,          prime,          1,  3,  6,  6,   4,   1,   9,   12,  2,   1
 3164, 2² 7 113,      ,               2,  4,  0,  7,   5,   2,   10,  13,  3,   2
 3165, 3 5 211,       radical,        0,  0,  1,  8,   6,   3,   11,  14,  4,   3
 3166, 2 1583,        radical,        1,  1,  2,  9,   7,   4,   12,  15,  5,   4
 3167, 3167,          prime,          2,  2,  3,  10,  8,   5,   13,  16,  6,   5
 3168, 2⁵ 3² 11,      ,               0,  3,  4,  0,   9,   6,   14,  17,  7,   6
 3169, 3169,          prime,          1,  4,  5,  1,   10,  7,   15,  18,  8,   7
 3170, 2 5 317,       radical,        2,  0,  6,  2,   11,  8,   16,  19,  9,   8
 3171, 3 7 151,       radical,        0,  1,  0,  3,   12,  9,   17,  20,  10,  9
 3172, 2² 13 61,      ,               1,  2,  1,  4,   0,   10,  18,  21,  11,  10
 3173, 19 167,        radical,        2,  3,  2,  5,   1,   11,  0,   22,  12,  11
 3174, 2 3 23²,       ,               0,  4,  3,  6,   2,   12,  1,   0,   13,  12
 3175, 5² 127,        ,               1,  0,  4,  7,   3,   13,  2,   1,   14,  13
 3176, 2³ 397,        ,               2,  1,  5,  8,   4,   14,  3,   2,   15,  14
 3177, 3² 353,        ,               0,  2,  6,  9,   5,   15,  4,   3,   16,  15
 3178, 2 7 227,       radical,        1,  3,  0,  10,  6,   16,  5,   4,   17,  16
 3179, 11 17²,        ,               2,  4,  1,  0,   7,   0,   6,   5,   18,  17
 3180, 2² 3 5 53,     ,               0,  0,  2,  1,   8,   1,   7,   6,   19,  18
 3181, 3181,          prime,          1,  1,  3,  2,   9,   2,   8,   7,   20,  19
 3182, 2 37 43,       radical,        2,  2,  4,  3,   10,  3,   9,   8,   21,  20
 3183, 3 1061,        radical,        0,  3,  5,  4,   11,  4,   10,  9,   22,  21
 3184, 2⁴ 199,        ,               1,  4,  6,  5,   12,  5,   11,  10,  23,  22
 3185, 5 7² 13,       ,               2,  0,  0,  6,   0,   6,   12,  11,  24,  23
 3186, 2 3³ 59,       ,               0,  1,  1,  7,   1,   7,   13,  12,  25,  24
 3187, 3187,          prime,          1,  2,  2,  8,   2,   8,   14,  13,  26,  25
 3188, 2² 797,        ,               2,  3,  3,  9,   3,   9,   15,  14,  27,  26
 3189, 3 1063,        radical,        0,  4,  4,  10,  4,   10,  16,  15,  28,  27
 3190, 2 5 11 29,     radical,        1,  0,  5,  0,   5,   11,  17,  16,  0,   28
 3191, 3191,          prime,          2,  1,  6,  1,   6,   12,  18,  17,  1,   29
 3192, 2³ 3 7 19,     ,               0,  2,  0,  2,   7,   13,  0,   18,  2,   30
 3193, 31 103,        radical,        1,  3,  1,  3,   8,   14,  1,   19,  3,   0
 3194, 2 1597,        radical,        2,  4,  2,  4,   9,   15,  2,   20,  4,   1
 3195, 3² 5 71,       ,               0,  0,  3,  5,   10,  16,  3,   21,  5,   2
 3196, 2² 17 47,      ,               1,  1,  4,  6,   11,  0,   4,   22,  6,   3
 3197, 23 139,        radical,        2,  2,  5,  7,   12,  1,   5,   0,   7,   4
 3198, 2 3 13 41,     radical,        0,  3,  6,  8,   0,   2,   6,   1,   8,   5
 3199, 7 457,         radical,        1,  4,  0,  9,   1,   3,   7,   2,   9,   6
 3200, 2⁷ 5²,         ,               2,  0,  1,  10,  2,   4,   8,   3,   10,  7
 3201, 3 11 97,       radical,        0,  1,  2,  0,   3,   5,   9,   4,   11,  8
 3202, 2 1601,        radical,        1,  2,  3,  1,   4,   6,   10,  5,   12,  9
 3203, 3203,          prime,          2,  3,  4,  2,   5,   7,   11,  6,   13,  10
 3204, 2² 3² 89,      ,               0,  4,  5,  3,   6,   8,   12,  7,   14,  11
 3205, 5 641,         radical,        1,  0,  6,  4,   7,   9,   13,  8,   15,  12
 3206, 2 7 229,       radical,        2,  1,  0,  5,   8,   10,  14,  9,   16,  13
 3207, 3 1069,        radical,        0,  2,  1,  6,   9,   11,  15,  10,  17,  14
 3208, 2³ 401,        ,               1,  3,  2,  7,   10,  12,  16,  11,  18,  15
 3209, 3209,          prime,          2,  4,  3,  8,   11,  13,  17,  12,  19,  16
 3210, 2 3 5 107,     radical,        0,  0,  4,  9,   12,  14,  18,  13,  20,  17
 3211, 13² 19,        ,               1,  1,  5,  10,  0,   15,  0,   14,  21,  18
 3212, 2² 11 73,      ,               2,  2,  6,  0,   1,   16,  1,   15,  22,  19
 3213, 3³ 7 17,       ,               0,  3,  0,  1,   2,   0,   2,   16,  23,  20
 3214, 2 1607,        radical,        1,  4,  1,  2,   3,   1,   3,   17,  24,  21
 3215, 5 643,         radical,        2,  0,  2,  3,   4,   2,   4,   18,  25,  22
 3216, 2⁴ 3 67,       ,               0,  1,  3,  4,   5,   3,   5,   19,  26,  23
 3217, 3217,          prime,          1,  2,  4,  5,   6,   4,   6,   20,  27,  24
 3218, 2 1609,        radical,        2,  3,  5,  6,   7,   5,   7,   21,  28,  25
 3219, 3 29 37,       radical,        0,  4,  6,  7,   8,   6,   8,   22,  0,   26
 3220, 2² 5 7 23,     ,               1,  0,  0,  8,   9,   7,   9,   0,   1,   27
 3221, 3221,          prime,          2,  1,  1,  9,   10,  8,   10,  1,   2,   28
 3222, 2 3² 179,      ,               0,  2,  2,  10,  11,  9,   11,  2,   3,   29
 3223, 11 293,        radical,        1,  3,  3,  0,   12,  10,  12,  3,   4,   30
 3224, 2³ 13 31,      ,               2,  4,  4,  1,   0,   11,  13,  4,   5,   0
 3225, 3 5² 43,       ,               0,  0,  5,  2,   1,   12,  14,  5,   6,   1
 3226, 2 1613,        radical,        1,  1,  6,  3,   2,   13,  15,  6,   7,   2
